talker_2	talker_1	phone_2	phone_1	by	score	n
c1	d1	ao	ax	b-l	0.777991777473	53998
c1	d1	ax	ao	b-l	0.895618838036	229026
c1	f1	ao	ax	b-l	0.507466266867	16675
c1	f1	ax	ao	b-l	0.911686108165	70725
c1	f2	ao	ax	b-l	0.628526645768	1276
c1	f2	ax	ao	b-l	0.974870657797	5412
c1	i1	ao	ax	b-l	0.85275862069	5800
c1	i1	ax	ao	b-l	0.854918699187	24600
c1	j1	ao	ax	b-l	0.62684729064	7308
c1	j1	ax	ao	b-l	0.993547554523	30996
c1	m2	ao	ax	b-l	0.647233360064	12470
c1	m2	ax	ao	b-l	0.926715825298	52890
c1	q1	ao	ax	b-l	0.0	58
c1	q1	ax	ao	b-l	1.0	246
c1	s1	ao	ax	b-l	0.677318232379	59334
c1	s1	ax	ao	b-l	0.744613721797	251658
c1	s2	ao	ax	b-l	0.716871921182	73080
c1	s2	ax	ao	b-l	0.876819589624	309960
c1	s3	ao	ax	b-l	0.496551724138	1160
c1	s3	ax	ao	b-l	0.998983739837	4920
c1	t1	ao	ax	b-l	0.459799437016	11368
c1	t1	ax	ao	b-l	0.988198938112	48216
c1	v1	ao	ax	b-l	0.814952386585	84535
c1	v1	ax	ao	b-l	0.743669553334	358545
c1	v2	ao	ax	b-l	0.563894523327	4437
c1	v2	ax	ao	b-l	0.905627291567	18819
c1	w1	ao	ax	b-l	0.600852799407	10788
c1	w1	ax	ao	b-l	0.997136987499	45756
c1	w3	ao	ax	b-l	0.590847169008	23490
c1	w3	ax	ao	b-l	0.954180467731	99630
d1	c1	ao	ax	b-l	0.628045091703	135546
d1	c1	ax	ao	b-l	0.929615580463	174783
d1	f1	ao	ax	b-l	0.412540045767	21850
d1	f1	ax	ao	b-l	0.896433007986	28175
d1	f2	ao	ax	b-l	0.599880382775	1672
d1	f2	ax	ao	b-l	0.89146567718	2156
d1	i1	ao	ax	b-l	0.821578947368	7600
d1	i1	ax	ao	b-l	0.815918367347	9800
d1	j1	ao	ax	b-l	0.553153717627	9576
d1	j1	ax	ao	b-l	0.949789439585	12348
d1	m2	ao	ax	b-l	0.605691554468	16340
d1	m2	ax	ao	b-l	0.912624584718	21070
d1	q1	ao	ax	b-l	0.0	76
d1	q1	ax	ao	b-l	1.0	98
d1	s1	ao	ax	b-l	0.672197355559	77748
d1	s1	ax	ao	b-l	0.754792826221	100254
d1	s2	ao	ax	b-l	0.658312447786	95760
d1	s2	ax	ao	b-l	0.860633300939	123480
