phone_2	phone_1	by	score	n
aa	eh	('g-t', 's2')	0.723938429597	2647116
eh	aa	('g-t', 's2')	0.832792984908	2627934
aa	ih	('m-n', 'c1')	0.822510822511	3696
ih	aa	('m-n', 'c1')	0.879519400353	9072
ae	uw	('y-SIL', 'w1')	0.743498817967	13536
uw	ae	('y-SIL', 'w1')	0.49375	1440
ah	ax	('r-n', 'i1')	0.740740740741	216
ax	ah	('r-n', 'i1')	0.611111111111	54
ae	ax	('k-n', 's1')	0.590192535006	351936
ax	ae	('k-n', 's1')	0.447364385167	1160640
ae	uw	('y-SIL', 'f2')	0.635076252723	918
uw	ae	('y-SIL', 'f2')	0.638888888889	108
ey	ah	('w-t', 'i1')	0.508865248227	2256
ae	ax	('k-n', 'd1')	0.578317588844	44460
ax	ae	('k-n', 'd1')	0.606708664898	271440
ae	ih	('th-ng', 's3')	0.5625	48
ih	ae	('th-ng', 's3')	0.895833333333	48
ah	ax	('r-n', 'w3')	0.5	180
ax	ah	('r-n', 'w3')	0.65	180
ah	ey	('w-t', 's3')	0.6	10
ey	ah	('w-t', 's3')	0.4	40
aa	ah	('w-n', 'i1')	0.625616370809	324480
ah	aa	('w-n', 'i1')	0.405228105228	390390
aa	ih	('m-n', 'd1')	0.746783625731	5130
ih	aa	('m-n', 'd1')	0.670927318296	3990
aa	ih	('m-n', 'f1')	0.847222222222	504
ih	aa	('m-n', 'f1')	0.574074074074	378
er	ih	('t-n', 'f1')	0.595238095238	840
ih	er	('t-n', 'f1')	0.478571428571	1680
ay	ih	('r-t', 'f2')	0.9	70
ih	ay	('r-t', 'f2')	0.971848739496	2380
aa	ih	('m-n', 's2')	0.777975528365	26970
ih	aa	('m-n', 's2')	0.777419354839	27900
er	ih	('t-n', 's2')	0.495192307692	3744
ih	er	('t-n', 's2')	0.704570791527	7176
eh	ih	('hh-r', 's1')	0.40072819478	1587762
ih	eh	('hh-r', 's1')	0.656296530782	170586
ay	ih	('r-t', 'v2')	0.81746031746	1638
ih	ay	('r-t', 'v2')	0.841237709659	10374
er	ih	('t-n', 'w1')	0.662698412698	252
ih	er	('t-n', 'w1')	0.909523809524	210
aa	ah	('w-n', 'q1')	0.656052631579	3800
ah	aa	('w-n', 'q1')	0.293333333333	1800
eh	ih	('l-t', 'f1')	0.560825647782	91080
ih	eh	('l-t', 'f1')	0.628770799785	93150
aa	eh	('g-t', 's3')	0.700757575758	264
eh	aa	('g-t', 's3')	0.208333333333	24
eh	ih	('hh-r', 'c1')	0.46888734675	242088
ih	eh	('hh-r', 'c1')	0.687479187479	24024
ah	ax	('s-m', 'f2')	0.83125	160
ax	ah	('s-m', 'f2')	0.814285714286	280
aa	ah	('w-n', 'f1')	0.596491933862	944566
ah	aa	('w-n', 'f1')	0.428644152243	369304
ae	uw	('y-SIL', 'i1')	0.8375	160
uw	ae	('y-SIL', 'i1')	0.485714285714	280
aa	ah	('w-n', 'v2')	0.605619047619	94500
ah	aa	('w-n', 'v2')	0.468458458458	199800
ae	uw	('y-SIL', 'd1')	0.643236714976	4140
uw	ae	('y-SIL', 'd1')	1.0	92
ae	ax	('k-n', 's2')	0.644347352468	84456
