"speakerpairs"	"contrasts"	"mean_score_temp"	"sp_type"	"c_type"
"c1-d1"	"aa-ah"	0.50511435634025	"b"	"V"
"c1-d1"	"aa-eh"	0.81270438458975	"b"	"V"
"c1-d1"	"aa-ih"	0.760249582289	"b"	"V"
"c1-d1"	"ae-ax"	0.54118777224325	"b"	"V"
"c1-d1"	"ae-ih"	0.55247415306575	"b"	"V"
"c1-d1"	"ae-uw"	0.7478412361765	"b"	"V"
"c1-d1"	"ah-ax"	0.56749283240725	"b"	"V"
"c1-d1"	"ah-ey"	0.6921971706455	"b"	"V"
"c1-d1"	"ao-ax"	0.80781782191875	"b"	"V"
"c1-d1"	"ay-ih"	0.70963718340125	"b"	"V"
"c1-d1"	"b-ch"	0.6369462674325	"b"	"C"
"c1-d1"	"b-g"	0.58962264150925	"b"	"C"
"c1-d1"	"b-hh"	0.569090569277	"b"	"C"
"c1-d1"	"b-jh"	0.66265625	"b"	"C"
"c1-d1"	"b-k"	0.54181249805	"b"	"C"
"c1-d1"	"b-l"	0.600219365371	"b"	"C"
"c1-d1"	"b-s"	0.52262668398	"b"	"C"
"c1-d1"	"b-t"	0.61989620228275	"b"	"C"
"c1-d1"	"b-th"	0.50483008010425	"b"	"C"
"c1-d1"	"b-w"	0.655131414268	"b"	"C"
"c1-d1"	"ch-g"	0.423828125	"b"	"C"
"c1-d1"	"ch-hh"	0.7071422230115	"b"	"C"
"c1-d1"	"ch-s"	0.61856668037275	"b"	"C"
"c1-d1"	"ch-th"	0.63005514705875	"b"	"C"
"c1-d1"	"d-g"	0.556740715858375	"b"	"C"
"c1-d1"	"d-m"	0.67824052019825	"b"	"C"
"c1-d1"	"d-n"	0.56518973857675	"b"	"C"
"c1-d1"	"d-w"	0.72901300465825	"b"	"C"
"c1-d1"	"dh-g"	0.6065962099125	"b"	"C"
"c1-d1"	"dh-hh"	0.53622196313575	"b"	"C"
"c1-d1"	"dh-k"	0.685561311764	"b"	"C"
"c1-d1"	"dh-l"	0.5539275150085	"b"	"C"
"c1-d1"	"dh-t"	0.587674285322833	"b"	"C"
"c1-d1"	"dh-w"	0.480919560807	"b"	"C"
"c1-d1"	"dh-y"	0.523326206839375	"b"	"C"
"c1-d1"	"eh-ih"	0.5492640420885	"b"	"V"
"c1-d1"	"er-ih"	0.542015775966	"b"	"V"
"c1-d1"	"f-g"	0.569528592687	"b"	"C"
"c1-d1"	"g-hh"	0.52619949494975	"b"	"C"
"c1-d1"	"g-l"	0.66552464008875	"b"	"C"
"c1-d1"	"g-m"	0.6812697826685	"b"	"C"
"c1-d1"	"g-n"	0.61439309657275	"b"	"C"
"c1-d1"	"g-s"	0.44873903508775	"b"	"C"
"c1-d1"	"g-t"	0.67493839641125	"b"	"C"
"c1-d1"	"g-th"	0.495710784313825	"b"	"C"
"c1-d1"	"g-w"	0.64630484820425	"b"	"C"
"c1-d1"	"g-y"	0.675157920311	"b"	"C"
"c1-d1"	"hh-jh"	0.74233024691375	"b"	"C"
"c1-d1"	"hh-k"	0.59502392725525	"b"	"C"
"c1-d1"	"hh-s"	0.581460744269125	"b"	"C"
"c1-d1"	"hh-th"	0.5635572173945	"b"	"C"
"c1-d1"	"hh-w"	0.69480210602775	"b"	"C"
"c1-d1"	"hh-y"	0.505823103043	"b"	"C"
"c1-d1"	"jh-k"	0.5665130131965	"b"	"C"
"c1-d1"	"jh-w"	0.6798779411765	"b"	"C"
"c1-d1"	"k-n"	0.8534143612815	"b"	"C"
"c1-d1"	"k-t"	0.63304167403975	"b"	"C"
"c1-d1"	"k-w"	0.6403731455925	"b"	"C"
"c1-d1"	"k-y"	0.592788162143	"b"	"C"
"c1-d1"	"l-t"	0.689348570512375	"b"	"C"
"c1-d1"	"l-w"	0.4823927956195	"b"	"C"
"c1-d1"	"l-y"	0.555027224068	"b"	"C"
"c1-d1"	"m-n"	0.51922320196525	"b"	"C"
"c1-d1"	"m-t"	0.62145667989425	"b"	"C"
"c1-d1"	"m-w"	0.5528273809525	"b"	"C"
"c1-d1"	"n-r"	0.61263718377975	"b"	"C"
"c1-d1"	"n-t"	0.559593391405	"b"	"C"
"c1-d1"	"ng-s"	0.81314339981025	"b"	"C"
"c1-d1"	"s-th"	0.49959284700725	"b"	"C"
"c1-d1"	"t-v"	0.54729083994725	"b"	"C"
"c1-d1"	"t-w"	0.63568541451675	"b"	"C"
"c1-d1"	"t-y"	0.73475232198125	"b"	"C"
"c1-d1"	"w-y"	0.54990551776275	"b"	"C"
"c1-f1"	"aa-ah"	0.518259109492	"b"	"V"
"c1-f1"	"aa-eh"	0.707314877119	"b"	"V"
"c1-f1"	"aa-ih"	0.7132582199545	"b"	"V"
"c1-f1"	"ae-ax"	0.52524781341125	"b"	"V"
"c1-f1"	"ae-ih"	0.46883352688525	"b"	"V"
"c1-f1"	"ae-uw"	0.71231996501575	"b"	"V"
"c1-f1"	"ah-ax"	0.63534564425525	"b"	"V"
"c1-f1"	"ah-ey"	0.7257220292935	"b"	"V"
"c1-f1"	"ao-ax"	0.72540388342425	"b"	"V"
